id_anotacion,id_candidato,t_inicio,t_fin,etiqueta_humana,prediccion_motor,confianza,razon
172,259,2026-06-04 16:20:00+00:00,2026-06-04 16:25:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, tpl_alim_escalonada"
154,223,2026-06-01 16:13:00+00:00,2026-06-01 16:25:00+00:00,ruido,alimentacion,1.0,"Features clave: time_to_min_s, n_plateaus, zcr"
240,276,2026-06-05 20:00:00+00:00,2026-06-05 20:12:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, tpl_alim_escalonada"
239,272,2026-06-05 16:40:00+00:00,2026-06-05 16:46:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, tpl_alim_escalonada"
225,216,2026-05-31 23:06:00+00:00,2026-05-31 23:27:00+00:00,ruido,alimentacion,1.0,"Features clave: time_to_min_s, n_minima, d1_n_sign_changes"
231,240,2026-06-02 21:04:00+00:00,2026-06-02 21:22:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, autocorr_lag3"
234,252,2026-06-04 05:13:00+00:00,2026-06-04 05:18:00+00:00,ruido,alimentacion,1.0,"Features clave: entropy_shannon, fractal_katz, zcr"
219,192,2026-05-29 02:57:00+00:00,2026-05-29 03:01:00+00:00,ruido,servido,1.0,"Features clave: autocorr_lag3, tpl_alim_escalonada, tpl_serv_brusco"
215,176,2026-05-27 13:10:00+00:00,2026-05-27 13:15:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, tpl_alim_escalonada"
217,184,2026-05-28 12:50:00+00:00,2026-05-28 13:05:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, sim_alimentacion"
186,5,2026-04-09 02:26:00+00:00,2026-04-09 02:42:00+00:00,ruido,alimentacion,1.0,"Features clave: zcr, lempel_ziv, n_plateaus"
182,279,2026-06-05 21:07:00+00:00,2026-06-05 21:18:00+00:00,ruido,servido,1.0,"Features clave: energy_ratio_d1_signal, straightness, stat_cv"
526,486,2026-07-09T01:02:00+00:00,2026-07-09T01:15:00+00:00,ruido,servido,1.0,"Features clave: stat_cv, energy_ratio_d1_signal, initial_slope_g_min"
454,153,2026-05-05 23:37:00+00:00,2026-05-05 23:42:00+00:00,alimentacion,servido,1.0,"Features clave: monotonicity, tpl_serv_brusco, tpl_exp_decay"
471,431,2026-06-29T00:42:00+00:00,2026-06-29T00:47:00+00:00,ruido,alimentacion,1.0,"Features clave: entropy_shannon, fractal_katz, zcr"
486,446,2026-07-01T21:20:00+00:00,2026-07-01T21:26:00+00:00,ruido,alimentacion,1.0,"Features clave: entropy_shannon, zcr, fractal_katz"
535,495,2026-07-10T13:14:00+00:00,2026-07-10T13:26:00+00:00,ruido,servido,1.0,"Features clave: tortuosity, straightness, d1_std"
534,494,2026-07-10T10:55:00+00:00,2026-07-10T11:20:00+00:00,ruido,alimentacion,1.0,"Features clave: time_to_min_s, n_plateaus, n_minima"
417,15,2026-04-10 04:35:00+00:00,2026-04-10 05:00:00+00:00,ruido,alimentacion,1.0,"Features clave: time_to_min_s, d1_n_sign_changes, stat_mad"
410,326,2026-06-12 23:45:00+00:00,2026-06-12 23:49:00+00:00,ruido,servido,1.0,"Features clave: autocorr_lag3, tpl_alim_escalonada, tpl_sigmoide"
429,347,2026-06-16 00:37:00+00:00,2026-06-16 00:48:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, tpl_alim_escalonada"
441,239,2026-06-02 19:53:00+00:00,2026-06-02 20:06:00+00:00,ruido,alimentacion,1.0,"Features clave: tpl_serv_brusco, tpl_exp_decay, tpl_exp_rise"
241,280,2026-06-05 23:14:00+00:00,2026-06-05 23:31:00+00:00,ruido,servido,1.0,"Features clave: stat_iqr, tpl_doble_rampa, tpl_sigmoide"
237,264,2026-06-04 23:27:00+00:00,2026-06-04 23:38:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, sim_alimentacion"
244,289,2026-06-07 04:08:00+00:00,2026-06-07 04:19:00+00:00,ruido,servido,1.0,"Features clave: overshoot_g, straightness, tortuosity"
259,319,2026-06-11 14:48:00+00:00,2026-06-11 15:02:00+00:00,ruido,alimentacion,1.0,"Features clave: n_plateaus, fractal_katz, tpl_serv_brusco"
252,305,2026-06-09 18:51:00+00:00,2026-06-09 18:57:00+00:00,ruido,alimentacion,1.0,"Features clave: autocorr_lag3, r2_lineal, d1_frac_neg"
247,295,2026-06-08 05:38:00+00:00,2026-06-08 05:49:00+00:00,ruido,servido,1.0,"Features clave: straightness, tortuosity, d1_std"
326,348,2026-06-16 02:37:00+00:00,2026-06-16 02:51:00+00:00,ruido,alimentacion,1.0,"Features clave: time_to_min_s, n_plateaus, tpl_alim_lenta"
314,278,2026-06-05 20:53:00+00:00,2026-06-05 21:04:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, sim_alimentacion"
330,356,2026-06-16 18:25:00+00:00,2026-06-16 18:29:00+00:00,ruido,alimentacion,1.0,"Features clave: r2_lineal, time_to_min_s, autocorr_lag3"
265,331,2026-06-13 23:54:00+00:00,2026-06-14 00:00:00+00:00,ruido,alimentacion,1.0,"Features clave: zcr, fractal_katz, entropy_shannon"
269,339,2026-06-15 02:47:00+00:00,2026-06-15 02:58:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, tpl_alim_escalonada"
266,333,2026-06-14 17:49:00+00:00,2026-06-14 18:00:00+00:00,ruido,alimentacion,1.0,"Features clave: zcr, fractal_katz, time_to_min_s"
291,274,2026-06-05 17:28:00+00:00,2026-06-05 17:32:00+00:00,ruido,servido,1.0,"Features clave: tpl_alim_escalonada, sim_alimentacion, sim_servido"
445,230,2026-06-02 00:31:00+00:00,2026-06-02 00:42:00+00:00,ruido,alimentacion,1.0,"Features clave: time_to_min_s, zcr, fractal_katz"
369,378,2026-06-19 20:31:00+00:00,2026-06-19 20:35:00+00:00,alimentacion,servido,1.0,"Features clave: autocorr_lag3, tpl_sigmoide, tpl_exp_decay"
379,398,2026-06-22 22:41:00+00:00,2026-06-22 22:46:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, tpl_alim_escalonada"
393,375,2026-06-19 13:34:00+00:00,2026-06-19 13:40:00+00:00,ruido,servido,1.0,"Features clave: d1_frac_pos, tpl_exp_decay, tpl_exp_rise"
354,357,2026-06-16 21:46:00+00:00,2026-06-16 21:50:00+00:00,ruido,servido,1.0,"Features clave: tpl_alim_escalonada, tpl_sigmoide, sim_alimentacion"
351,345,2026-06-15 15:06:00+00:00,2026-06-15 15:10:00+00:00,ruido,servido,1.0,"Features clave: tpl_alim_escalonada, sim_alimentacion, sim_servido"
352,349,2026-06-16 04:48:00+00:00,2026-06-16 04:59:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, sim_alimentacion"
336,368,2026-06-18 15:26:00+00:00,2026-06-18 15:41:00+00:00,ruido,alimentacion,1.0,"Features clave: time_to_min_s, n_plateaus, fractal_katz"
333,362,2026-06-17 15:33:00+00:00,2026-06-17 15:44:00+00:00,ruido,servido,1.0,"Features clave: tpl_doble_rampa, tpl_sigmoide, tpl_alim_escalonada"
420,0,2026-04-08 03:10:00+00:00,2026-04-08 03:29:00+00:00,ruido,servido,1.0,"Features clave: stat_iqr, stat_cv, tortuosity"
431,119,2026-04-30 20:56:00+00:00,2026-04-30 21:06:00+00:00,ruido,alimentacion,1.0,"Features clave: zcr, lempel_ziv, entropy_shannon"
430,50,2026-04-15 13:59:00+00:00,2026-04-15 14:08:00+00:00,ruido,alimentacion,1.0,"Features clave: fractal_katz, zcr, lempel_ziv"
504,464,2026-07-05T14:12:00+00:00,2026-07-05T14:23:00+00:00,ruido,alimentacion,0.999,"Features clave: entropy_shannon, zcr, fractal_katz"
415,407,2026-06-24 09:06:00+00:00,2026-06-24 09:18:00+00:00,ruido,servido,0.999,"Features clave: straightness, tortuosity, d1_std"
224,212,2026-05-31 12:29:00+00:00,2026-05-31 12:35:00+00:00,ruido,servido,0.999,"Features clave: tpl_alim_escalonada, tpl_alim_lenta, tpl_serv_brusco"
268,337,2026-06-15 01:38:00+00:00,2026-06-15 01:43:00+00:00,ruido,alimentacion,0.999,"Features clave: entropy_shannon, fractal_katz, zcr"
304,65,2026-04-20 15:14:00+00:00,2026-04-20 15:27:00+00:00,ruido,alimentacion,0.999,"Features clave: lempel_ziv, zcr, entropy_shannon"
394,381,2026-06-20 07:15:00+00:00,2026-06-20 07:26:00+00:00,ruido,servido,0.999,"Features clave: straightness, tortuosity, d1_std"
128,171,2026-05-26 18:36:00+00:00,2026-05-26 18:48:00+00:00,ruido,servido,0.999,"Features clave: energy_ratio_d1_signal, straightness, stat_cv"
345,254,2026-06-04 12:27:00+00:00,2026-06-04 12:44:00+00:00,ruido,alimentacion,0.999,"Features clave: n_plateaus, time_to_min_s, autocorr_lag3"
137,189,2026-05-28 23:41:00+00:00,2026-05-28 23:48:00+00:00,alimentacion,servido,0.998,"Features clave: tpl_sigmoide, tpl_exp_decay, tpl_exp_rise"
264,329,2026-06-13 10:37:00+00:00,2026-06-13 10:48:00+00:00,ruido,servido,0.998,"Features clave: straightness, tortuosity, d1_std"
166,247,2026-06-03 17:43:00+00:00,2026-06-03 17:55:00+00:00,ruido,servido,0.997,"Features clave: tpl_doble_rampa, tpl_sigmoide, tpl_alim_escalonada"
350,340,2026-06-15 03:31:00+00:00,2026-06-15 03:47:00+00:00,ruido,servido,0.994,"Features clave: tpl_doble_rampa, tpl_sigmoide, sim_alimentacion"
4,6,2026-04-09 04:59:00+00:00,2026-04-09 05:11:00+00:00,ruido,servido,0.993,"Features clave: straightness, tortuosity, d1_std"
84,166,2026-05-26 07:17:00+00:00,2026-05-26 07:23:00+00:00,alimentacion,servido,0.993,"Features clave: tpl_serv_brusco, tpl_exp_decay, tpl_exp_rise"
92,31,2026-04-12 15:47:00+00:00,2026-04-12 15:58:00+00:00,ruido,servido,0.992,"Features clave: straightness, tortuosity, d1_std"
194,41,2026-04-13 23:44:00+00:00,2026-04-13 23:56:00+00:00,ruido,servido,0.99,"Features clave: straightness, tortuosity, d1_std"
101,67,2026-04-20 21:15:00+00:00,2026-04-20 21:22:00+00:00,alimentacion,servido,0.989,"Features clave: spectral_entropy, tpl_serv_brusco, tpl_exp_decay"
384,408,2026-06-24 10:08:00+00:00,2026-06-24 10:18:00+00:00,ruido,alimentacion,0.988,"Features clave: zcr, entropy_shannon, lempel_ziv"
318,314,2026-06-10 20:42:00+00:00,2026-06-10 20:53:00+00:00,ruido,alimentacion,0.988,"Features clave: zcr, n_plateaus, d1_frac_neg"
115,123,2026-05-01 07:37:00+00:00,2026-05-01 07:48:00+00:00,ruido,servido,0.988,"Features clave: tpl_doble_rampa, tpl_alim_escalonada, sim_alimentacion"
370,380,2026-06-20 02:41:00+00:00,2026-06-20 02:52:00+00:00,ruido,servido,0.986,"Features clave: straightness, tortuosity, d1_std"
168,251,2026-06-04 01:42:00+00:00,2026-06-04 01:58:00+00:00,ruido,servido,0.977,"Features clave: tpl_doble_rampa, tpl_sigmoide, sim_alimentacion"
359,377,2026-06-19 18:34:00+00:00,2026-06-19 18:45:00+00:00,ruido,servido,0.952,"Features clave: straightness, tortuosity, d1_std"
343,190,2026-05-29 00:19:00+00:00,2026-05-29 00:26:00+00:00,ruido,servido,0.927,"Features clave: autocorr_lag3, tpl_serv_brusco, tpl_alim_lenta"
279,178,2026-05-27 15:10:00+00:00,2026-05-27 15:21:00+00:00,ruido,alimentacion,0.916,"Features clave: entropy_shannon, zcr, d1_frac_neg"
9,16,2026-04-10 08:55:00+00:00,2026-04-10 09:10:00+00:00,ruido,servido,0.905,"Features clave: tpl_doble_rampa, tpl_sigmoide, spectral_entropy"
281,194,2026-05-29 09:11:00+00:00,2026-05-29 09:18:00+00:00,ruido,servido,0.903,"Features clave: autocorr_lag3, tpl_alim_lenta, sim_alimentacion"
382,404,2026-06-23 21:37:00+00:00,2026-06-23 21:46:00+00:00,ruido,alimentacion,0.893,"Features clave: d1_frac_neg, zcr, r2_lineal"
183,281,2026-06-05 23:38:00+00:00,2026-06-05 23:52:00+00:00,ruido,alimentacion,0.877,"Features clave: lempel_ziv, autocorr_lag3, idx_template_max"
